,z3-base,z3-base,z3-base,z3-base,z3-base,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later
,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment
AProVE/aproveSMT2560551492226655703.smt2,11081,47128,sat,535.0,2656.0,9611,47108,sat,378.0,2065.0,25.0,0,9451,47108,sat,451.0,2250.0,,0
AProVE/aproveSMT171175975508767855.smt2,426,42676,sat,2.0,9.0,429,44232,sat,2.0,9.0,,0,426,42672,sat,2.0,9.0,,0
AProVE/aproveSMT2755594976371810516.smt2,10992,71452,unsat,237.0,1075.0,11174,80684,unsat,237.0,1075.0,,0,11604,80564,unsat,237.0,1075.0,,0
AProVE/aproveSMT7707059208401772365.smt2,471,43460,sat,1.0,2.0,450,42668,sat,1.0,2.0,,0,451,41904,sat,1.0,2.0,,0
AProVE/aproveSMT4734414423837611769.smt2,465,41916,sat,1.0,3.0,470,44744,sat,1.0,3.0,,0,484,42692,sat,1.0,3.0,,0
AProVE/aproveSMT2652699427193514179.smt2,420,43464,sat,,,462,42680,sat,,,,0,536,44724,sat,,,,0
AProVE/aproveSMT4267984743284509447.smt2,509,44732,unsat,1.0,11.0,490,44136,unsat,1.0,11.0,,0,359,43440,unsat,1.0,11.0,,0
AProVE/aproveSMT2180870078806303650.smt2,399,42688,sat,,,399,42676,sat,,,,0,446,42688,sat,,,,0
AProVE/aproveSMT2748583918758924107.smt2,424,43960,sat,1.0,1.0,511,42684,sat,1.0,1.0,,0,458,43456,sat,1.0,1.0,,0
AProVE/aproveSMT2126642735045670106.smt2,63024,3840,timeout,,,13144,53068,sat,99.0,446.0,21.0,0,15119,69768,sat,117.0,325.0,,0
AProVE/aproveSMT3863000301652170829.smt2,2062,43456,sat,135.0,975.0,2081,42012,sat,135.0,975.0,,0,1844,43452,sat,135.0,975.0,,0
