,z3-base,z3-base,z3-base,z3-base,z3-base,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-first,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later,z3-lc-later
,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment,runtime,peak_memory_kbytes,answer,arith-nra-calls,arith-nla-calls,arith-check-assignment-calls,arith-used-check-assignment
20211101-Geogebra/IsoRightTriangle-Bottema1_12b.smt2,517,41900,sat,1.0,2.0,478,42692,sat,1.0,2.0,,0,442,41912,sat,1.0,2.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema11_20b.smt2,399,42672,sat,1.0,2.0,403,42680,sat,1.0,2.0,,0,443,42700,sat,1.0,2.0,,0
20211101-Geogebra/RightTriangle-Bottema6_1a.smt2,442,43460,sat,1.0,6.0,471,42696,sat,1.0,6.0,,0,458,43456,sat,1.0,6.0,,0
20211101-Geogebra/Triangle-Bottema1_9.smt2,451,41904,sat,1.0,2.0,399,42680,sat,1.0,2.0,,0,384,42688,sat,1.0,2.0,,0
20211101-Geogebra/RightTriangle-Bottema4_2b.smt2,417,43948,sat,1.0,3.0,460,44720,sat,1.0,3.0,,0,439,41904,sat,1.0,3.0,,0
20211101-Geogebra/IsoTriangle-Perimeter_CircumRadius_b.smt2,443,42672,sat,1.0,2.0,439,44740,sat,1.0,2.0,,0,410,42696,sat,1.0,2.0,,0
20211101-Geogebra/IsoTriangle-Bottema5_3a.smt2,499,43448,sat,1.0,3.0,434,43452,sat,1.0,3.0,,0,484,42684,sat,1.0,3.0,,0
20211101-Geogebra/Triangle-Bottema1_17.smt2,420,42688,sat,1.0,6.0,448,42680,sat,1.0,6.0,,0,416,42692,sat,1.0,6.0,,0
20211101-Geogebra/RegNonagon-Diagonal_Side.smt2,63017,3072,timeout,,,63023,3072,timeout,,,,0,63020,3840,timeout,,,,0
20211101-Geogebra/RegHexagon-Diagonal_Side.smt2,418,41904,sat,1.0,7.0,457,42672,sat,1.0,7.0,,0,502,44224,sat,1.0,7.0,,0
20211101-Geogebra/IsoTriangle-Median_Perimeter_a1.smt2,657,44740,sat,1.0,1.0,484,42684,sat,1.0,1.0,,0,434,43468,sat,1.0,1.0,,0
20211101-Geogebra/Triangle-2Sides_Medians_a.smt2,372,41908,sat,1.0,2.0,377,43936,sat,1.0,2.0,,0,362,43460,sat,1.0,2.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_5a.smt2,439,43956,sat,1.0,2.0,500,44916,sat,1.0,2.0,,0,440,42696,sat,1.0,2.0,,0
20211101-Geogebra/RightTriangle-Bottema1_1b.smt2,431,42680,sat,1.0,1.0,436,44936,sat,1.0,1.0,,0,417,43472,sat,1.0,1.0,,0
20211101-Geogebra/KochanskiPiApproximation.smt2,367,43452,sat,1.0,7.0,448,42684,sat,1.0,7.0,,0,492,42664,sat,1.0,7.0,,0
20211101-Geogebra/Triangle-Bottema1_14.smt2,439,41900,sat,1.0,2.0,387,42688,sat,1.0,2.0,,0,663,42692,sat,1.0,2.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_1a.smt2,397,43456,sat,1.0,3.0,418,43448,sat,1.0,3.0,,0,448,42688,sat,1.0,3.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_6b.smt2,458,42676,sat,1.0,2.0,471,42688,sat,1.0,2.0,,0,384,42676,sat,1.0,2.0,,0
20211101-Geogebra/EulerInequality_IsoTriangle-CircumRadius_InRadius.smt2,354,43464,sat,1.0,3.0,431,42688,sat,1.0,3.0,,0,398,42692,sat,1.0,3.0,,0
20211101-Geogebra/IsoTriangle-Bottema6_1a.smt2,365,42668,sat,1.0,1.0,425,43448,sat,1.0,1.0,,0,471,42680,sat,1.0,1.0,,0
20211101-Geogebra/IsoTriangle-Bottema1_1a.smt2,420,43448,sat,1.0,1.0,457,43448,sat,1.0,1.0,,0,375,42676,sat,1.0,1.0,,0
20211101-Geogebra/RegOctagon-Diagonal_Side.smt2,63025,3072,timeout,,,63021,3840,timeout,,,,0,63022,3072,timeout,,,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_2a.smt2,450,45508,sat,1.0,2.0,486,42696,sat,1.0,2.0,,0,465,43960,sat,1.0,2.0,,0
20211101-Geogebra/IsoTriangle-Bottema1_19b.smt2,374,41924,sat,1.0,3.0,441,42672,sat,1.0,3.0,,0,403,43456,sat,1.0,3.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema8_1b.smt2,429,41904,sat,1.0,2.0,450,44724,sat,1.0,2.0,,0,409,42688,sat,1.0,2.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_17a.smt2,442,42672,sat,1.0,9.0,468,42676,sat,1.0,9.0,,0,451,41920,sat,1.0,9.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema4_2b.smt2,434,43456,sat,1.0,2.0,452,42672,sat,1.0,2.0,,0,442,43444,sat,1.0,2.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_15a.smt2,432,42668,sat,1.0,2.0,416,42676,sat,1.0,2.0,,0,480,42692,sat,1.0,2.0,,0
20211101-Geogebra/Triangle-Bottema1_3.smt2,384,42676,sat,1.0,5.0,411,42680,sat,1.0,5.0,,0,426,44728,sat,1.0,5.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_23b.smt2,473,42684,sat,1.0,2.0,492,44720,sat,1.0,2.0,,0,450,42708,sat,1.0,2.0,,0
20211101-Geogebra/IsoTriangle-Perimeter_CircumRadius_a.smt2,460,42696,sat,1.0,4.0,437,42680,sat,1.0,4.0,,0,445,43452,sat,1.0,4.0,,0
20211101-Geogebra/Triangle-Bottema1_8.smt2,399,42668,sat,1.0,2.0,481,44704,sat,1.0,2.0,,0,435,42680,sat,1.0,2.0,,0
20211101-Geogebra/Triangle-SymmHomPoly_3-2-2.smt2,389,42668,sat,1.0,2.0,379,42680,sat,1.0,2.0,,0,388,44928,sat,1.0,2.0,,0
20211101-Geogebra/RightTriangle-Bottema5_3b.smt2,435,42676,sat,1.0,1.0,480,42684,sat,1.0,1.0,,0,448,43456,sat,1.0,1.0,,0
20211101-Geogebra/RightTriangle-Bottema5_3a.smt2,424,42672,sat,1.0,1.0,470,42680,sat,1.0,1.0,,0,384,42688,sat,1.0,1.0,,0
20211101-Geogebra/Triangle-Bottema1_19.smt2,63021,3072,timeout,,,63025,3072,timeout,,,,0,63023,3072,timeout,,,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_17b.smt2,451,41908,sat,1.0,5.0,423,42664,sat,1.0,5.0,,0,495,41904,sat,1.0,5.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_2b.smt2,422,42680,sat,1.0,2.0,459,43468,sat,1.0,2.0,,0,385,42684,sat,1.0,2.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema6_1b.smt2,400,42688,sat,1.0,2.0,479,42688,sat,1.0,2.0,,0,391,43464,sat,1.0,2.0,,0
20211101-Geogebra/OposicionsSecundariaCatalunya2018-2_4b.smt2,527,44728,sat,6.0,29.0,772,45496,sat,9.0,66.0,4.0,0,478,42704,sat,6.0,29.0,,0
20211101-Geogebra/Triangle-SymmHomPoly_3-3-1.smt2,448,44224,sat,1.0,6.0,472,42676,sat,1.0,6.0,,0,422,43452,sat,1.0,6.0,,0
20211101-Geogebra/IsoTriangle-Median_Perimeter_a2.smt2,475,42684,sat,1.0,1.0,422,42688,sat,1.0,1.0,,0,457,42692,sat,1.0,1.0,,0
20211101-Geogebra/TriangleInequality_Triangle-a+b_c.smt2,457,42676,sat,1.0,2.0,475,44708,sat,1.0,2.0,,0,416,42684,sat,1.0,2.0,,0
20211101-Geogebra/Triangle-Bottema1_7.smt2,478,41908,sat,1.0,5.0,388,43460,sat,1.0,5.0,,0,444,43468,sat,1.0,5.0,,0
20211101-Geogebra/IsoRightTriangle-Bottema1_3a.smt2,451,43448,sat,1.0,2.0,413,43460,sat,1.0,2.0,,0,374,42676,sat,1.0,2.0,,0
